id,name,type,organ,ontology_id
ASCTB-TEMP:lateral-proper-plantar-digital-artery-of-second-digit-of-foot,lateral proper plantar digital artery of second digit of foot,AS,blood_vasculature,ASCTB-TEMP:lateral-proper-plantar-digital-artery-of-second-digit-of-foot
CL:0000071$$1287,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1288,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1289,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1290,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:medial-proper-plantar-digital-artery-of-third-digit-of-foot,medial proper plantar digital artery of third digit of foot,AS,blood_vasculature,ASCTB-TEMP:medial-proper-plantar-digital-artery-of-third-digit-of-foot
CL:0000071$$1291,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1292,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1293,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1294,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:second-posterior-perforating-branch-of-plantar-arch,second posterior perforating branch of plantar arch,AS,blood_vasculature,ASCTB-TEMP:second-posterior-perforating-branch-of-plantar-arch
CL:0000071$$1295,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1296,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1297,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1298,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:43961,Third plantar metatarsal artery,AS,blood_vasculature,FMA:43961
CL:0000071$$1299,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1300,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1301,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1302,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:third-common-plantar-digital-artery,third common plantar digital artery,AS,blood_vasculature,ASCTB-TEMP:third-common-plantar-digital-artery
CL:0000071$$1303,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1304,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1305,fibroblast,CT,blood_vasculature,CL:0000057
